url,image_url
https://vkusvill.ru/goods/voda-mineralnaya-narzan-prirodnoy-gazatsii-500-ml-83182.html,https://img.vkusvill.ru/pim/images/site/site/c890b410-73e3-43dd-84c5-dfb50d7bc21b.jpg
https://vkusvill.ru/goods/sok-apelsinovyy-svezhevyzhatyy-500-ml-68960.html,https://img.vkusvill.ru/pim/images/site/site/92abfede-6d35-4ade-af89-8317572b6a4f.jpg
https://vkusvill.ru/goods/kvas-traditsionnyy-500-ml-76792.html,https://img.vkusvill.ru/pim/images/site/site/d5988d81-b6f3-4a72-86a5-dae03ff06bc5.jpg
https://vkusvill.ru/goods/vino-simpli-0-bezalkogolnoe-igristoe-beloe-sladkoe-750-ml-100624.html,https://img.vkusvill.ru/pim/images/site/site/6f80c691-3c43-4f02-8fd1-52b88dc45064.jpg
https://vkusvill.ru/goods/tonik-persik-zhasmin-silnogazirovannyy-200-ml-105759.html,https://img.vkusvill.ru/pim/images/site/site/4b54b341-cd82-460d-a5e1-3fd9b37bc341.jpg
https://vkusvill.ru/goods/ays-kofe-raf-chernichnyy-pirog-0-3-kafe-112028.html,https://img.vkusvill.ru/pim/images/site/site/0c44fe6f-195a-4e99-b84a-565a3ff296ef.jpg
https://vkusvill.ru/goods/apelsinovyy-svezhevyzhatyy-sok-0-3-l-21811.html,https://img.vkusvill.ru/pim/images/site/site/98739a96-7ac6-4c57-9aa4-26b410c419a3.jpg
https://vkusvill.ru/goods/voda-mineralnaya-psyzh-1-5-l-89036.html,https://img.vkusvill.ru/pim/images/site/21305e1f-0e1c-46fd-89f4-6b4e104ebd5f.jpg?1708361529.0676
https://vkusvill.ru/goods/voda-pitevaya-svyatoy-istochnik-negazirovannaya-1-5-l-33153.html,https://img.vkusvill.ru/pim/images/site/site/da79a221-7a81-4fe2-b607-737814f3ced5.jpg
https://vkusvill.ru/goods/led-mosled-pishchevoy-sfery-430-g-86121.html,https://img.vkusvill.ru/pim/images/site/ce281e10-0616-46f6-a0b5-0b54dd8e0acf.jpg?1718392357.0121
https://vkusvill.ru/goods/mors-chernichnyy-1-l-34071.html,https://img.vkusvill.ru/pim/images/site/5f605dd4-1f96-4cd3-b59e-0f51b2531fa9.jpg?1744833734.2658
https://vkusvill.ru/goods/voda-prirodnaya-6-l-107342.html,https://img.vkusvill.ru/pim/images/site/site/f003dd40-20c7-473d-9e16-a4a5d8005820.jpg
