ingredient,match_title,match_url,match_category,match_subcategory,score,reasons
Лаванда,"Чайный напиток в банке ""Лемонграсс""",https://vkusvill.ru/goods/chaynyy-napitok-v-banke-lemongrass-111351.html,Чай и кофе,Сборы и травяные чаи,1.4626,"{'title_overlap': 0.0, 'vec_sim': 0.6141, 'fuzzy': 0.2381}"
Лаванда,"Напиток чайный ""Каркаде""",https://vkusvill.ru/goods/napitok-chaynyy-karkade-100-g-88879.html,Чай,Сборы и травяные чаи,1.4594,"{'title_overlap': 0.0, 'vec_sim': 0.5957, 'fuzzy': 0.2581}"
Лаванда,"Напиток чайный травяной ""Алтайский"" / Здоровье",https://vkusvill.ru/goods/napitok-chaynyy-travyanoy-altayskiy-25557.html,Сборы и травяные чаи,"Напиток чайный травяной ""Алтайский""",1.4314,"{'title_overlap': 0.0, 'vec_sim': 0.6066, 'fuzzy': 0.2264}"
Лаванда,"Чайный напиток в банке ""Вербена лимонная""",https://vkusvill.ru/goods/chaynyy-napitok-v-banke-verbena-limonnaya-111150.html,Чай и кофе,Сборы и травяные чаи,1.4246,"{'title_overlap': 0.0, 'vec_sim': 0.6179, 'fuzzy': 0.2083}"
Лаванда,"Чайный напиток в банке ""Роза""",https://vkusvill.ru/goods/chaynyy-napitok-v-banke-roza-111149.html,Чай и кофе,Сборы и травяные чаи,1.4225,"{'title_overlap': 0.0, 'vec_sim': 0.6051, 'fuzzy': 0.2222}"
Лаванда,"Напиток ""Лимонад""",https://vkusvill.ru/goods/napitok-limonad-500-ml-22803.html,Напитки,"Лимонады, газировка",1.4099,"{'title_overlap': 0.0, 'vec_sim': 0.5055, 'fuzzy': 0.3333}"
Лаванда,"Напиток ""Лимонад""",https://vkusvill.ru/goods/napitok-limonad-1-l-22804.html,Напитки,"Лимонады, газировка",1.4099,"{'title_overlap': 0.0, 'vec_sim': 0.5055, 'fuzzy': 0.3333}"
Лаванда,"Чайный напиток ""Цветочно-травяной сбор""",https://vkusvill.ru/goods/chaynyy-napitok-tsvetochno-travyanoy-sbor-82561.html,Чай,Сборы и травяные чаи,1.3968,"{'title_overlap': 0.0, 'vec_sim': 0.6311, 'fuzzy': 0.1739}"
Лаванда,"Напиток чайный ""Шиповник королевский""",https://vkusvill.ru/goods/napitok-chaynyy-shipovnik-korolevskiy-53815.html,Чай,Сборы и травяные чаи,1.3634,"{'title_overlap': 0.0, 'vec_sim': 0.606, 'fuzzy': 0.1818}"
Лаванда,"Эрессо-тоник Грейпфрут-Лаванда, кафе",https://vkusvill.ru/goods/espresso-tonik-greypfrut-lavanda-500-ml-kafe-97855.html,Кафе,Напитки,1.3227,"{'title_overlap': 0.2, 'vec_sim': 0.3524, 'fuzzy': 0.3256}"
Лаванда,"Напиток чайный ""Мелисса, мята и лемонграсс"", пакетики",https://vkusvill.ru/goods/napitok-chaynyy-melissa-myata-i-lemongrass-paketiki-106007.html,Чай и кофе,Сборы и травяные чаи,1.3131,"{'title_overlap': 0.0, 'vec_sim': 0.5906, 'fuzzy': 0.1667}"
Лаванда,"Напиток чайный ""Гречишный""",https://vkusvill.ru/goods/napitok-chaynyy-grechishnyy-75-g-36533.html,Чай,Сборы и травяные чаи,1.3067,"{'title_overlap': 0.0, 'vec_sim': 0.5744, 'fuzzy': 0.1818}"
Повидло,Дабл покет Биф,https://vkusvill.ru/goods/dabl-poket-bif-312628.html,Готовая еда,"Сэндвичи, шаурма и бургеры",0.3048,{'fallback': True}
Грейпфрут,Грейпфрут,https://vkusvill.ru/goods/greypfrut-14405.html,Фрукты,Цитрусовые,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Грейпфрут,Грейпфрут дольки,https://vkusvill.ru/goods/greypfrut-dolki-116232.html,"Овощи, фрукты, ягоды, зелень",Фруктовые нарезки и десерты,3.4345,"{'title_overlap': 0.5, 'vec_sim': 0.7969, 'fuzzy': 1.0}"
Грейпфрут,Мармелад Мармеландия апельсин лимон и грейпфрут дольки,https://vkusvill.ru/goods/marmelad-marmelandiya-apelsin-limon-i-greypfrut-dolki-330-g-39805.html,Сладости и десерты,"Зефир, пастила, безе и мармелад",2.9451,"{'title_overlap': 0.1429, 'vec_sim': 0.7235, 'fuzzy': 1.0}"
Грейпфрут,Фреш Грейпфрут,https://vkusvill.ru/goods/fresh-greypfrut-51008.html,Напитки,Соки,2.9316,"{'title_overlap': 0.5, 'vec_sim': 0.5176, 'fuzzy': 1.0}"
Грейпфрут,"Лимонад ""Лапочка"" грейпфрут + лимон, кафе",https://vkusvill.ru/goods/limonad-lapochka-greypfrut-limon-kafe-65112.html,Напитки,"Лимонады, газировка",2.8615,"{'title_overlap': 0.2, 'vec_sim': 0.6453, 'fuzzy': 1.0}"
Грейпфрут,Сок Swell Апельсин Грейпфрут стекло,https://vkusvill.ru/goods/sok-swell-apelsin-greypfrut-steklo-750-ml-96812.html,Соки и нектары,Соки и нектары,2.8156,"{'title_overlap': 0.2, 'vec_sim': 0.6198, 'fuzzy': 1.0}"
Грейпфрут,Эскимо пломбир грейпфрут в темном шоколаде,https://vkusvill.ru/goods/eskimo-plombir-greypfrut-v-temnom-shokolade-88434.html,Мороженое,Эскимо,2.1974,"{'title_overlap': 0.1667, 'vec_sim': 0.2948, 'fuzzy': 1.0}"
Грейпфрут,"Лимонад ""Тоник-грейпфрут""",https://vkusvill.ru/goods/limonad-tonik-greypfrut-330-ml-92413.html,Напитки,"Лимонады, газировка",2.1389,"{'title_overlap': 0.3333, 'vec_sim': 0.5619, 'fuzzy': 0.5294}"
Грейпфрут,"Сок ""Грейпфрут-лимон-имбирь""",https://vkusvill.ru/goods/sok-greypfrut-limon-imbir-250-ml-37800.html,Напитки,Соки,2.1372,"{'title_overlap': 0.25, 'vec_sim': 0.643, 'fuzzy': 0.4865}"
Грейпфрут,Лимонад яблоко-грейпфрут,https://vkusvill.ru/goods/limonad-yabloko-greypfrut-500-ml-110009.html,Напитки,"Лимонады, газировка",1.9891,"{'title_overlap': 0.3333, 'vec_sim': 0.4653, 'fuzzy': 0.5455}"
Грейпфрут,"Эрессо-тоник Грейпфрут-Лаванда, кафе",https://vkusvill.ru/goods/espresso-tonik-greypfrut-lavanda-500-ml-kafe-97855.html,Кафе,Напитки,1.7308,"{'title_overlap': 0.2, 'vec_sim': 0.5171, 'fuzzy': 0.4}"
Грейпфрут,Апельсин-грейпфрут сок прямого отжима,https://vkusvill.ru/goods/apelsin-greypfrut-sok-pryamogo-otzhima-250-ml-frutkort-115635.html,Напитки,Соки,1.5289,"{'title_overlap': 0.2, 'vec_sim': 0.4122, 'fuzzy': 0.3913}"
Грейпфрут,"Напиток ""L-карнитин со вкусом Грейпфрут-Апельсин"", кафе",https://vkusvill.ru/goods/napitok-l-karnitin-so-vkusom-greypfrut-apelsin-kafe-83077.html,Кафе,Напитки,1.3964,"{'title_overlap': 0.125, 'vec_sim': 0.472, 'fuzzy': 0.2812}"
Грейпфрут,"Напиток-шот ""Мандарин- лайм- лимон- апельсин""",https://vkusvill.ru/goods/napitok-shot-mandarin-laym-limon-apelsin-100-ml-89903.html,Напитки,Смузи,1.3915,"{'title_overlap': 0.0, 'vec_sim': 0.6187, 'fuzzy': 0.1852}"
Грейпфрут,Фреш Апельсин,https://vkusvill.ru/goods/fresh-apelsin-51004.html,Напитки,Соки,1.3184,"{'title_overlap': 0.0, 'vec_sim': 0.5052, 'fuzzy': 0.2727}"
Грейпфрут,Апельсин дольки,https://vkusvill.ru/goods/apelsin-dolki-116227.html,"Овощи, фрукты, ягоды, зелень",Фруктовые нарезки и десерты,1.2775,"{'title_overlap': 0.0, 'vec_sim': 0.6403, 'fuzzy': 0.0833}"
Грейпфрут,"Тоник ""Береза-тимьян-лайм""",https://vkusvill.ru/goods/tonik-bereza-timyan-laym-200-ml-110378.html,Напитки,"Лимонады, газировка",1.2284,"{'title_overlap': 0.0, 'vec_sim': 0.492, 'fuzzy': 0.2286}"
Грейпфрут,"Пирог ""Сицилийский"" апельсин-лимон",https://vkusvill.ru/goods/pirog-sitsiliyskiy-apelsin-limon-100-g-67786.html,Сладости и десерты,Пирожные и десерты,1.2063,"{'title_overlap': 0.0, 'vec_sim': 0.5539, 'fuzzy': 0.1395}"
Грейпфрут,"Лимонад ""Лимон-Имбирь""",https://vkusvill.ru/goods/limonad-limon-imbir-500-ml-66443.html,Напитки,"Лимонады, газировка",1.1798,"{'title_overlap': 0.0, 'vec_sim': 0.6017, 'fuzzy': 0.0645}"
Грейпфрут,Апельсин соковый,https://vkusvill.ru/goods/apelsin-sokovyy-42832.html,Фрукты,Цитрусовые,1.1684,"{'title_overlap': 0.0, 'vec_sim': 0.5158, 'fuzzy': 0.16}"
Вода розовая,Вода родниковая,https://vkusvill.ru/goods/voda-rodnikovaya-6-l-14684.html,Напитки,Вода,3.2427,"{'title_overlap': 0.3333, 'vec_sim': 0.9373, 'fuzzy': 0.8148}"
Вода розовая,Вода природная,https://vkusvill.ru/goods/voda-prirodnaya-6-l-107342.html,Напитки,Вода,3.0232,"{'title_overlap': 0.3333, 'vec_sim': 0.9174, 'fuzzy': 0.6923}"
