ingredient,match_title,match_category,match_subcategory,match_id,score,reasons
Экстракт,Экстракт плодов шиповника растворимый,Чай,Сборы и травяные чаи,1456.0,3.4276,"{'title_overlap': 0.25, 'vec_sim': 0.932, 'fuzzy': 1.0}"
Экстракт,"Подсластитель ""Эритрит и экстракт стевии""","Масла, соусы, специи, сахар и соль","Сахар, заменители и сиропы",6729.0,2.1938,"{'title_overlap': 0.2, 'vec_sim': 0.2743, 'fuzzy': 1.0}"
Экстракт,Цикорий растворимый порошкообразный,Чай и кофе,"Цикорий, матча и какао",9401.0,2.0226,"{'title_overlap': 0.0, 'vec_sim': 0.9298, 'fuzzy': 0.2326}"
Икра черная,Черная смородина протертая с сахаром,Консервация,"Варенье, джемы, пюре",1031.0,2.2054,"{'title_overlap': 0.1667, 'vec_sim': 0.5444, 'fuzzy': 0.7059}"
Икра черная,Варенье Ратибор Черная смородина,"Варенье, джемы, конфитюры","Варенье, джемы, конфитюры",9759.0,2.138,"{'title_overlap': 0.2, 'vec_sim': 0.4884, 'fuzzy': 0.7059}"
Икра черная,Йогурт Из Талицы Черная смородина 8%,Кисломолочные продукты,Кисломолочные продукты,10175.0,2.0912,"{'title_overlap': 0.1429, 'vec_sim': 0.4942, 'fuzzy': 0.7059}"
Бекмес,Банановый кекс с орехом,Сладости и десерты,Пирожные и десерты,259.0,0.1034,"{'fallback': True, 'mode': 'forced', 'sc_allowed': None, 'sc_any': 0.1034}"
Капуста кудрявая,Капуста квашеная,Консервация,"Хумус, закуски и соленья",2352.0,3.2136,"{'title_overlap': 0.3333, 'vec_sim': 0.9752, 'fuzzy': 0.75}"
Капуста кудрявая,Капуста цветная,Овощи,Капуста,2369.0,3.1785,"{'title_overlap': 0.3333, 'vec_sim': 0.9892, 'fuzzy': 0.7097}"
Капуста кудрявая,Капуста пекинская,Овощи,Капуста,2364.0,3.1303,"{'title_overlap': 0.3333, 'vec_sim': 0.9983, 'fuzzy': 0.6667}"
Сироп кленовый,Кленовый сироп,Консервация,"Сиропы, пасты и сгущёнка",2954.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Сироп кленовый,Светлый сироп агавы,Индилавка: вкусы мира,"Крупы, мука, соусы, масла",8684.0,1.5936,"{'title_overlap': 0.25, 'vec_sim': 0.9586, 'fuzzy': 0.5455}"
Сироп кленовый,Темный сироп агавы,Индилавка: вкусы мира,"Крупы, мука, соусы, масла",9138.0,1.2128,"{'title_overlap': 0.25, 'vec_sim': 0.6807, 'fuzzy': 0.625}"
Тархун,Лимонад Черноголовка Тархун газированный стекло,Газированные напитки,Газированные напитки,4114.0,2.8635,"{'title_overlap': 0.2, 'vec_sim': 0.6464, 'fuzzy': 1.0}"
Тархун,Лимонад Borjomi Limonati by Тархун,Газированные напитки,Газированные напитки,4104.0,2.7936,"{'title_overlap': 0.2, 'vec_sim': 0.6076, 'fuzzy': 1.0}"
Тархун,"Напиток ""Тархун""",Напитки,"Лимонады, газировка",5493.0,2.2604,"{'title_overlap': 0.5, 'vec_sim': 0.5235, 'fuzzy': 0.5455}"
Лечо,Лечо по-домашнему,Консервация,Икра овощная и лечо,4046.0,2.7414,"{'title_overlap': 0.3333, 'vec_sim': 0.5045, 'fuzzy': 1.0}"
Лечо,Лечо Дядя Ваня закарпатское с/б,Консервация,Икра овощная и лечо,4045.0,2.4416,"{'title_overlap': 0.1667, 'vec_sim': 0.4305, 'fuzzy': 1.0}"
Лечо,"Перец в томатном соусе ""Лечо""",Консервация,"Хумус, закуски и соленья",6352.0,1.8944,"{'title_overlap': 0.2, 'vec_sim': 0.7393, 'fuzzy': 0.2424}"
Соль,Французская соль,Индилавка: вкусы мира,Пряности и специи,1704.0,3.794,"{'title_overlap': 0.5, 'vec_sim': 0.9966, 'fuzzy': 1.0}"
Соль,Соль пищевая каменная,"Масла, соусы, специи, сахар и соль",Соль,8243.0,3.6273,"{'title_overlap': 0.3333, 'vec_sim': 0.9967, 'fuzzy': 1.0}"
Соль,Соль пищевая копченая,"Масла, соусы, специи, сахар и соль",Соль,8244.0,3.5521,"{'title_overlap': 0.3333, 'vec_sim': 0.9549, 'fuzzy': 1.0}"
Брусника,Брусника,"Овощи, фрукты, ягоды, зелень",Ягоды,741.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Брусника,Брусника свежезамороженная,Замороженные продукты,"Замороженные овощи, грибы, ягоды и фрукты",744.0,3.5779,"{'title_overlap': 0.5, 'vec_sim': 0.8766, 'fuzzy': 1.0}"
Брусника,Основа для морса брусника,Напитки,Морсы,5747.0,2.9934,"{'title_overlap': 0.25, 'vec_sim': 0.6908, 'fuzzy': 1.0}"
Голубика,Голубика,"Овощи, фрукты, ягоды, зелень",Ягоды,1856.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
Голубика,Голубика,"Овощи, фрукты, ягоды, зелень",Ягоды,1855.0,4.3,"{'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
