product_id,product_title,match_ingredient,score,reasons
10121,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10122,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10122,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10122,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10123,Яйцо куриное с1,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10123,Яйцо куриное с1,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10123,Яйцо куриное с1,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10124,Яйцо куриное с2,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10124,Яйцо куриное с2,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10124,Яйцо куриное с2,Яйцо перепелиное,2.8128,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6452}"
10125,Яйцо куриное село,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10125,Яйцо куриное село,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10125,Яйцо куриное село,Филе куриное,2.7815,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.5789, 'fuzzy': 0.7368}"
10126,Яйцо куриное,Яйцо куриное,4.9,"{'coverage_ing': 1.0, 'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10126,Яйцо куриное,Бедро куриное,3.1313,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.7662, 'fuzzy': 0.7368}"
10126,Яйцо куриное,Яйцо перепелиное,2.9665,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.6844, 'fuzzy': 0.7143}"
10127,Яйцо куриное вараксино,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10127,Яйцо куриное вараксино,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10127,Яйцо куриное вараксино,Филе куриное,2.7815,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.5789, 'fuzzy': 0.7368}"
10128,Яйцо куриное волжанин,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10128,Яйцо куриное волжанин,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10128,Яйцо куриное волжанин,Филе куриное,2.7815,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.5789, 'fuzzy': 0.7368}"
10129,Яйцо куриное высшей,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10129,Яйцо куриное высшей,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10129,Яйцо куриное высшей,Яйцо перепелиное,2.7879,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.6286}"
10130,Яйцо куриное зернового,Яйцо куриное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10130,Яйцо куриное зернового,Бедро куриное,3.026,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.7662, 'fuzzy': 0.7}"
10130,Яйцо куриное зернового,Филе куриное,2.7815,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.5789, 'fuzzy': 0.7368}"
10132,Яйцо перепелиное,Яйцо перепелиное,4.9,"{'coverage_ing': 1.0, 'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10132,Яйцо перепелиное,Яйцо куриное,2.9665,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.6844, 'fuzzy': 0.7143}"
10133,Яйцо перепелиное,Яйцо перепелиное,4.9,"{'coverage_ing': 1.0, 'title_overlap': 1.0, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10133,Яйцо перепелиное,Яйцо куриное,2.9665,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.6844, 'fuzzy': 0.7143}"
10134,Яйцо перепелиное пищевое,Яйцо перепелиное,4.7,"{'coverage_ing': 1.0, 'title_overlap': 0.6667, 'vec_sim': 1.0, 'fuzzy': 1.0}"
10134,Яйцо перепелиное пищевое,Яйцо куриное,2.6784,"{'coverage_ing': 0.5, 'title_overlap': 0.25, 'vec_sim': 0.6844, 'fuzzy': 0.5556}"
10135,Яйцо шоколадное,Яйцо перепелиное,3.2344,"{'coverage_ing': 0.5, 'title_overlap': 0.3333, 'vec_sim': 0.9772, 'fuzzy': 0.5806}"
